Velocity Profile of Model Wake,,,,
,,,,
q Corr Factor,0.89,,,
,,,,
Atm Press [Pa],98200,,,
,,,,
Atm Temp [C],23,,,
,,,,
Density [kg/m^3],1.156,,,
,,,,
Average Tunnel Velocity [m/s],20.254,,,
,,,,
Streamwise location [mm],66.7,,,
,,,,
,,,,
Lateral Position [mm], Pitot/Static Vel [m/s], Pitot/Static Vel Stdev [m/s], Hot Wire Vel [m/s], Hot Wire Vel Stdev [m/s]
-60,20.106,0.123,20.163,0.282
-58,20.062,0.113,19.996,0.297
-56,20.097,0.115,20.017,0.32
-54,20.138,0.139,20.063,0.368
-52,20.079,0.135,19.969,0.417
-50,20.042,0.126,19.943,0.484
-48,20.033,0.145,19.946,0.548
-46,20.095,0.167,19.986,0.626
-44,20.075,0.169,19.94,0.722
-42,20.1,0.182,19.933,0.889
-40,20.117,0.204,19.899,0.99
-38,20.162,0.24,19.903,1.186
-36,20.164,0.328,19.857,1.471
-34,20.22,0.398,19.798,1.795
-32,20.155,0.563,19.652,2.186
-30,20.092,0.634,19.554,2.482
-28,20.062,0.788,19.325,2.958
-26,19.99,0.921,19.208,3.318
-24,19.666,1.164,18.859,3.757
-22,19.436,1.229,18.667,3.981
-20,19.158,1.266,18.317,4.321
-18,18.856,1.307,17.905,4.645
-16,18.498,1.418,17.445,4.925
-14,17.781,1.481,17.031,5.074
-12,17.23,1.651,16.334,5.112
-10,16.309,1.883,15.576,5.285
-8,15.332,2.049,15.016,5.088
-6,14.324,2.465,14.523,4.851
-4,12.981,3.364,14.131,4.681
-2,12.527,3.688,13.963,4.463
0,12.224,4.182,13.838,4.35
2,13.039,3.395,13.906,4.61
4,13.967,2.683,14.346,4.825
6,15.006,2.297,15,5.059
8,16.256,1.942,15.653,5.189
10,16.938,1.648,16.357,5.142
12,17.753,1.485,16.929,5.008
14,18.374,1.457,17.246,4.872
16,18.808,1.414,17.913,4.634
18,19.086,1.377,18.177,4.348
20,19.585,1.204,18.607,4.025
22,19.786,1.108,18.84,3.681
24,19.927,0.995,19.186,3.296
26,20.199,0.85,19.392,2.936
28,20.261,0.726,19.527,2.613
30,20.35,0.551,19.684,2.135
32,20.354,0.413,19.7,1.864
34,20.358,0.321,19.829,1.497
36,20.416,0.264,19.988,1.218
38,20.284,0.219,19.941,1.043
40,20.433,0.205,20.167,0.881
42,20.344,0.173,20.029,0.747
44,20.318,0.17,20.047,0.643
46,20.393,0.143,20.151,0.557
48,20.343,0.138,20.108,0.48
50,20.355,0.13,20.242,0.424
52,20.422,0.123,20.239,0.379
54,20.426,0.15,20.216,0.327
56,20.505,0.12,20.326,0.287
58,20.38,0.108,20.186,0.258
60,20.457,0.112,20.281,0.241
